"mean_correct","mean_type1","mean_type2","mean_type3","event_types","sample_size","noise_term","check"
0.4076792,0.098585706,0,0.493735083,"edge event sets",1,0.3,0.999999989
0.2930486,0.092583038,0.207749,0.406619324,"edge event sets",2,0.3,0.999999962
0.2766393,0.095184192,0.3023107,0.325865721,"edge event sets",3,0.3,0.999999913
0.2798154,0.09131535,0.3637652,0.265104074,"edge event sets",4,0.3,1.000000024
0.2900671,0.085655133,0.4054015,0.218876259,"edge event sets",5,0.3,0.999999992
0.3022378,0.079181463,0.4357788,0.182801967,"edge event sets",6,0.3,1.00000003
0.3145837,0.072563363,0.4587467,0.154106228,"edge event sets",7,0.3,0.999999991
0.3263769,0.066129886,0.4765874,0.130905869,"edge event sets",8,0.3,1.000000055
0.3373532,0.060051461,0.4906905,0.111904892,"edge event sets",9,0.3,1.000000053
0.3474474,0.054406721,0.5019673,0.096178638,"edge event sets",10,0.3,1.000000059
0.3566841,0.049222784,0.5110438,0.083049254,"edge event sets",11,0.3,0.999999938
0.3651261,0.044497373,0.5183687,0.072007762,"edge event sets",12,0.3,0.999999935
0.3728494,0.040211846,0.5242744,0.062664288,"edge event sets",13,0.3,0.999999934
0.3799313,0.036338939,0.5290146,0.054715117,"edge event sets",14,0.3,0.999999956
0.3864449,0.032847426,0.5327874,0.047920271,"edge event sets",15,0.3,0.999999997
0.3924567,0.029704923,0.5357506,0.042087817,"edge event sets",16,0.3,1.00000004
0.3980259,0.026879557,0.5380319,0.037062657,"edge event sets",17,0.3,1.000000014
0.4032046,0.024340921,0.5397361,0.032718326,"edge event sets",18,0.3,0.999999947
0.4080383,0.022060587,0.5409502,0.028950904,"edge event sets",19,0.3,0.999999991
0.4125665,0.020012337,0.5417467,0.02567441,"edge event sets",20,0.3,0.999999947
0.4314386,0.012555486,0.5414292,0.014576745,"edge event sets",25,0.3,1.000000031
0.4467563,0.008025482,0.5366291,0.008589107,"edge event sets",30,0.3,0.999999989
0.4593116,0.005317115,0.5300814,0.005289881,"edge event sets",35,0.3,0.999999996
0.4701577,0.003631303,0.5228315,0.003379415,"edge event sets",40,0.3,0.999999918
0.4797682,0.002553385,0.5154456,0.002232802,"edge event sets",45,0.3,0.999999987
0.488438,0.001845433,0.508195,0.00152163,"edge event sets",50,0.3,1.000000063
