"mean_correct","mean_type1","mean_type2","mean_type3","event_types","sample_size","noise_term","check"
0.3876931,0.11341356,0,0.49889334,"middle event sets",1,0,1
0.2814019,0.11497838,0.160372,0.44324774,"middle event sets",2,0,1.00000002
0.2596479,0.12919294,0.2316886,0.37947053,"middle event sets",3,0,0.99999997
0.256461,0.13488026,0.2774836,0.33117511,"middle event sets",4,0,0.99999997
0.2613158,0.13789377,0.307436,0.29335449,"middle event sets",5,0,1.00000006
0.2694556,0.13892376,0.3285203,0.26310039,"middle event sets",6,0,1.00000005
0.2791012,0.13876317,0.3438103,0.23832528,"middle event sets",7,0,0.99999995
0.2893563,0.13782294,0.3551797,0.21764109,"middle event sets",8,0,1.00000003
0.2997723,0.13637497,0.3637593,0.20009346,"middle event sets",9,0,1.00000003
0.3101089,0.13459482,0.370289,0.18500728,"middle event sets",10,0,1
0.3202371,0.13260091,0.3752707,0.17189134,"middle event sets",11,0,1.00000005
0.3300887,0.13047442,0.3790576,0.16037932,"middle event sets",12,0,1.00000004
0.3396302,0.12827192,0.3819059,0.15019197,"middle event sets",13,0,0.99999999
0.3488483,0.12603326,0.384006,0.14111245,"middle event sets",14,0,1.00000001
0.3577417,0.12378668,0.3855021,0.13296953,"middle event sets",15,0,1.00000001
0.3663159,0.12155224,0.3865058,0.12562603,"middle event sets",16,0,0.99999997
0.3745807,0.11934416,0.3871045,0.11897068,"middle event sets",17,0,1.00000004
0.3825478,0.11717241,0.3873676,0.11291214,"middle event sets",18,0,0.99999995
0.3902303,0.1150439,0.3873511,0.10737472,"middle event sets",19,0,1.00000002
0.3976415,0.11296324,0.3871002,0.10229508,"middle event sets",20,0,1.00000002
0.431075,0.10334364,0.3834347,0.08214669,"middle event sets",25,0,1.00000003
0.4594967,0.09501568,0.3775108,0.06797682,"middle event sets",30,0,1
0.4840159,0.08782991,0.3706298,0.0575244,"middle event sets",35,0,1.00000001
0.5054438,0.08160527,0.3634159,0.04953504,"middle event sets",40,0,1.00000001
0.5243784,0.07617909,0.3561857,0.04325686,"middle event sets",45,0,1.00000005
0.5412684,0.07141614,0.3491031,0.03821232,"middle event sets",50,0,0.99999996
