"le_Mean","le_SD","le_2.5%","le_97.5%","lm_Mean","lm_SD","lm_2.5%","lm_97.5%","t1e_Mean","t1e_SD","t1e_2.5%","t1e_97.5%","t1m_Mean","t1m_SD","t1m_2.5%","t1m_97.5%","t3e_Mean","t3e_SD","t3e_2.5%","t3e_97.5%","t3m_Mean","t3m_SD","t3m_2.5%","t3m_97.5%"
0.732235716,0.0922397054555738,0.5368238,0.896758025,0.649426132,0.136106738375117,0.366167,0.891131275,0.0463341358745537,0.0405625965534584,0.00246797975,0.1520512,0.368676502851375,0.189856927553271,0.04507341,0.75993645,0.0396754230917494,0.0359399081274764,0.00188185575,0.134085125,0.0814715024043813,0.0560143704470636,0.007896043,0.220598425
0.6444406165,0.100770938425897,0.4252429,0.820879325,0.39640250329375,0.137059617460871,0.14762615,0.6741668,0.0428344834749,0.0368208161437862,0.00217044575,0.138174775,0.47310576495625,0.161719459522358,0.171787325,0.789497575,0.0376486891341125,0.0333039318086295,0.00189651325,0.124689775,0.0729219281717187,0.0502527568450516,0.00685392375,0.19444365
0.7321959116875,0.0921641281089863,0.538660325,0.899381325,0.6485532054375,0.136030117784013,0.3694853,0.889566875,0.0460460634798214,0.0397912494490098,0.00237974575,0.150682525,0.54852174302125,0.198246658688483,0.1647535,0.912975575,0.0400655419543008,0.0359309856084842,0.00196214425,0.1336018,0.0819758140047994,0.0570333293315969,0.008249681,0.22708965
0.6440925505625,0.101360714699935,0.4249614,0.82340795,0.4813374332625,0.140594781796856,0.214736675,0.755004,0.043025811144345,0.0367963189372506,0.00211432275,0.13788205,0.272557935207594,0.155942917204121,0.028224175,0.612729575,0.0372114569598063,0.0329469257429002,0.00169977725,0.124074625,0.0758530877494375,0.051620870228347,0.0076236475,0.20423135
0.7775285158125,0.08893040006273,0.593133475,0.937085875,0.39527498045625,0.13659503235812,0.1477793,0.670602375,0.0473927312957125,0.0415145641643069,0.0024388865,0.15425515,0.47180494539375,0.1612371935413,0.1701847,0.789653125,0.0406962857190563,0.0362313577198111,0.00170737625,0.1370785,0.0737443619849075,0.0504984642334313,0.006803705,0.197699525
0.687037814625,0.096317955310291,0.48116015,0.85839935,0.73316451425,0.131071283320671,0.449371675,0.947431125,0.0441700353519813,0.0379720927276614,0.00243437275,0.144076925,0.4477642652175,0.213333793787724,0.06968218,0.876616575,0.0385256460715813,0.0343620106827538,0.001801934,0.127179075,0.0852508404553125,0.058970460798105,0.00858377775,0.231373525
0.687926629375,0.097107013635235,0.480450875,0.86081855,0.56767589835625,0.13854281503917,0.29460165,0.825427775,0.0743303122769375,0.0517185983280399,0.01115478,0.208367425,0.313195812164375,0.170976950365421,0.0351743625,0.676495225,0.0380795146249837,0.0338468837939922,0.0017943985,0.12746535,0.0786196140569688,0.0540240592268088,0.0078010745,0.214230375
0.6883612315,0.0968558048549533,0.482424425,0.8626238,0.311824917985,0.130244370781004,0.08812038,0.58373725,0.07360213247975,0.0502576798153692,0.0107083625,0.201717025,0.52410204599375,0.153972164618267,0.227142025,0.82027735,0.0384275212439438,0.0343455957207553,0.00181552425,0.12946305,0.0711177866375062,0.0483757086505322,0.006847212,0.187874975
0.6879992838125,0.0969985732546978,0.476057975,0.86097155,0.47953770043125,0.138523748616536,0.2122829,0.747703475,0.0449966020853825,0.0387067796773544,0.00239952925,0.14648115,0.66379105143125,0.167589101570532,0.32247725,0.948463525,0.03879266606915,0.0341730435734069,0.001835363,0.1273501,0.0762456079887794,0.0521486954142816,0.0069104315,0.206326375
0.6448087160625,0.102002954865879,0.424458475,0.8241423,0.480588825725,0.139510884022681,0.21655505,0.755641975,0.0432590106451718,0.0374321179418738,0.0024464625,0.14162435,0.46352509821375,0.181577584903486,0.13026595,0.82496765,0.03734229275033,0.0334466254928483,0.0018871615,0.128739175,0.1134047787675,0.0637857927396152,0.0236230425,0.269712175
